M,N,K
4,1536,4096
8,1536,4096
16,1536,4096
32,1536,4096
64,1536,4096
96,1536,4096
128,1536,4096
192,1536,4096
256,1536,4096
320,1536,4096
384,1536,4096
448,1536,4096
512,1536,4096
640,1536,4096
768,1536,4096
896,1536,4096
1024,1536,4096
1280,1536,4096
1536,1536,4096
4,32768,1024
8,32768,1024
16,32768,1024
32,32768,1024
64,32768,1024
96,32768,1024
128,32768,1024
192,32768,1024
256,32768,1024
320,32768,1024
384,32768,1024
448,32768,1024
512,32768,1024
640,32768,1024
768,32768,1024
896,32768,1024
1024,32768,1024
1280,32768,1024
1536,32768,1024
4,4096,12288
8,4096,12288
16,4096,12288
32,4096,12288
64,4096,12288
96,4096,12288
128,4096,12288
192,4096,12288
256,4096,12288
320,4096,12288
384,4096,12288
448,4096,12288
512,4096,12288
640,4096,12288
768,4096,12288
896,4096,12288
1024,4096,12288
1280,4096,12288
1536,4096,12288
4,8192,1024
8,8192,1024
16,8192,1024
32,8192,1024
64,8192,1024
96,8192,1024
128,8192,1024
192,8192,1024
256,8192,1024
320,8192,1024
384,8192,1024
448,8192,1024
512,8192,1024
640,8192,1024
768,8192,1024
896,8192,1024
1024,8192,1024
1280,8192,1024
1536,8192,1024
8,4096,8192
16,4096,8192
32,4096,8192
64,4096,8192
96,4096,8192
128,4096,8192
192,4096,8192
256,4096,8192
320,4096,8192
384,4096,8192
448,4096,8192
