gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,4,1536,4096,ck,13,3,5.9401,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,8.47,1063.98,0.0
gfx942,304,8,1536,4096,ck,8,3,6.2451,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.12,1016.61,0.0
gfx942,304,16,1536,4096,ck,8,3,6.6508,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,30.27,963.21,0.0
gfx942,304,32,1536,4096,ck,8,3,7.2903,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,55.23,894.45,0.0
gfx942,304,64,1536,4096,ck,8,3,9.0031,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.45,749.76,0.0
gfx942,304,96,1536,4096,ck,8,3,10.9915,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,109.9,635.0,0.0
gfx942,304,128,1536,4096,ck,8,0,14.6994,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,109.57,490.43,0.0
gfx942,304,192,1536,4096,ck,8,0,14.8729,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,162.44,515.55,0.0
gfx942,304,256,1536,4096,ck,18,0,18.5313,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,173.83,438.53,0.0
gfx942,304,320,1536,4096,ck,18,0,18.781,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,214.39,457.12,0.0
gfx942,304,384,1536,4096,ck,18,0,18.6351,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,259.29,485.32,0.0
gfx942,304,448,1536,4096,ck,18,0,18.8941,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,298.35,502.95,0.0
gfx942,304,512,1536,4096,ck,18,0,19.2593,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,334.51,517.23,0.0
gfx942,304,640,1536,4096,ck,18,0,22.3,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,361.12,487.85,0.0
gfx942,304,768,1536,4096,ck,18,0,23.5218,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,410.84,501.51,0.0
gfx942,304,896,1536,4096,ck,3,0,33.4561,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,336.99,380.02,0.0
gfx942,304,1024,1536,4096,ck,3,0,35.862,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,359.29,380.11,0.0
gfx942,304,1280,1536,4096,ck,3,0,40.1686,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,400.96,385.04,0.0
