gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,640,1536,4096,ck,11,0,19.1305,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,420.95,568.67,0.0
gfx942,304,768,1536,4096,ck,11,0,21.0425,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,459.25,560.6,0.0
gfx942,304,896,1536,4096,ck,16,0,24.4242,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,461.6,520.55,0.0
gfx942,304,1024,1536,4096,ck,16,0,26.072,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,494.2,522.84,0.0
gfx942,304,1280,1536,4096,ck,16,0,29.0716,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,554.02,532.01,0.0
gfx942,304,1536,1536,4096,ck,16,0,31.9642,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,604.66,541.28,0.0
gfx942,304,640,4096,4096,ck,9,0,42.333,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,507.28,582.09,0.0
gfx942,304,640,4096,8192,ck,13,0,79.1612,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,542.56,556.34,0.0
gfx942,304,768,4096,4096,ck,9,0,44.5724,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,578.16,588.13,0.0
gfx942,304,768,4096,8192,ck,14,0,83.2187,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,619.33,554.41,0.0
gfx942,304,896,4096,4096,ck,14,0,47.7258,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,629.95,582.23,0.0
gfx942,304,896,4096,8192,ck,14,0,89.3352,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,673.08,539.93,0.0
gfx942,304,1024,4096,4096,ck,1,0,51.7488,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,663.97,567.36,0.0
gfx942,304,1024,4096,8192,ck,14,0,95.3412,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,720.77,527.91,0.0
gfx942,304,1280,4096,4096,ck,14,0,65.523,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,655.49,496.1,0.0
gfx942,304,1280,4096,8192,ck,14,0,120.2619,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,714.27,453.39,0.0
gfx942,304,1536,4096,4096,ck,1,0,73.1251,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,704.81,487.54,0.0
gfx942,304,1536,4096,8192,ck,14,0,134.2646,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,767.73,437.35,0.0
