ts,load1,memfree_kb,containers,engine_cpu_pct,gpu_busy_pct,gpu_power_w
2026-08-20T16:05:53,0.00,10870312,3,61.82,0,
2026-08-20T16:06:04,1.61,117121360,3,97.42,0,
2026-08-20T16:06:15,1.52,115872088,3,100.70,0,
2026-08-20T16:06:26,1.44,115726824,3,320.32,0,
2026-08-20T16:06:34,1.37,115505200,3,320.36,0,141
2026-08-20T16:06:45,1.31,115024288,3,100.63,0,142
2026-08-20T16:06:56,1.26,114121436,3,196.11,6,198
2026-08-20T16:07:07,4.30,92086988,3,1540.04,1,216
2026-08-20T16:07:18,6.93,65131064,3,1325.81,1,217
2026-08-20T16:07:29,8.39,51009748,3,1560.92,5,222
2026-08-20T16:07:40,8.61,50760780,3,298.29,4,210
2026-08-20T16:07:51,7.44,48367020,3,100.45,1,181
2026-08-20T16:08:02,6.45,25905760,3,100.31,0,179
2026-08-20T16:08:13,5.24,9116356,3,100.52,0,178
2026-08-20T16:08:24,4.59,6752080,3,100.46,0,177
2026-08-20T16:08:35,4.03,11217928,3,100.97,0,179
2026-08-20T16:08:47,3.57,10926636,3,100.27,0,177
2026-08-20T16:08:58,3.17,10703968,3,100.18,1,185
2026-08-20T16:09:09,2.69,10688496,3,100.23,0,180
2026-08-20T16:09:20,2.50,10663704,3,100.55,26,230
2026-08-20T16:09:31,2.27,10584372,3,100.21,0,180
2026-08-20T16:09:42,2.08,10547016,3,100.90,0,181
2026-08-20T16:09:53,1.91,10552332,3,100.24,0,183
2026-08-20T16:10:04,1.71,10269892,3,101.84,35,248
2026-08-20T16:10:15,1.60,9931976,3,100.90,8,223
2026-08-20T16:10:26,1.51,9865104,3,101.60,0,179
2026-08-20T16:10:37,1.43,9784200,3,101.84,0,180
2026-08-20T16:10:48,1.36,8543652,3,54.01,0,179
2026-08-20T16:10:59,1.13,8549112,3,1.79,0,179
2026-08-20T16:11:10,0.95,8588940,3,1.80,0,178
2026-08-20T16:11:21,0.81,8613196,3,1.84,0,178
2026-08-20T16:11:32,0.76,8626152,3,1.91,0,177
2026-08-20T16:11:43,0.59,8633116,3,1.86,0,178
2026-08-20T16:11:54,0.66,8474956,3,176.95,79,616
2026-08-20T16:12:05,1.03,7611308,3,174.00,0,189
2026-08-20T16:12:16,1.17,7621368,3,243.30,90,685
2026-08-20T16:12:27,1.30,7593680,3,288.59,100,749
2026-08-20T16:12:38,1.53,6891200,3,250.67,99,734
2026-08-20T16:12:49,1.61,6972172,3,199.85,98,739
2026-08-20T16:13:01,1.59,6859392,3,213.43,100,747
2026-08-20T16:13:12,2.58,7072848,3,203.39,98,736
2026-08-20T16:13:23,2.57,7019644,3,208.31,100,741
2026-08-20T16:13:34,2.44,7010384,3,212.03,100,746
2026-08-20T16:13:45,2.45,6770868,3,184.47,98,733
2026-08-20T16:13:56,2.53,12471712,3,204.13,98,743
2026-08-20T16:14:07,3.08,10253752,3,201.51,94,689
2026-08-20T16:14:18,7.52,7690640,3,209.24,100,750
2026-08-20T16:14:29,7.47,7171420,3,210.88,98,740
2026-08-20T16:14:40,7.33,6655140,3,205.63,100,742
2026-08-20T16:14:51,8.42,13069872,3,324.94,100,750
2026-08-20T16:15:02,8.89,12793160,3,347.88,100,749
2026-08-20T16:15:13,8.84,11418612,3,197.07,100,698
2026-08-20T16:15:24,10.72,12504316,3,206.69,100,748
2026-08-20T16:15:35,10.49,12825812,3,203.47,99,743
2026-08-20T16:15:46,13.89,12442356,3,203.81,100,750
2026-08-20T16:15:57,12.53,12639408,3,202.11,98,722
2026-08-20T16:16:08,10.34,12811340,3,209.77,100,748
2026-08-20T16:16:19,9.37,12989292,3,202.34,99,738
2026-08-20T16:16:30,11.16,12654044,3,215.79,100,749
2026-08-20T16:16:41,10.08,12225728,3,207.51,98,735
2026-08-20T16:16:53,9.22,12438808,3,222.09,97,730
2026-08-20T16:17:04,8.46,11998456,3,217.01,98,731
2026-08-20T16:17:15,9.67,11701584,3,210.79,98,726
2026-08-20T16:17:26,11.31,11135696,3,185.97,100,748
2026-08-20T16:17:37,11.40,11272292,3,242.04,100,738
2026-08-20T16:17:48,11.21,11674136,3,284.98,100,749
2026-08-20T16:17:59,9.39,11879964,3,220.95,90,686
2026-08-20T16:18:10,9.68,11400300,3,232.91,99,744
2026-08-20T16:18:21,9.12,8892776,4,228.94,100,749
2026-08-20T16:18:32,8.57,8977172,4,213.93,93,702
2026-08-20T16:18:43,8.33,10302920,7,210.47,99,745
2026-08-20T16:18:54,6.93,9897276,6,277.22,100,744
2026-08-20T16:19:05,6.33,9899256,6,214.91,96,716
2026-08-20T16:19:16,5.89,9800084,6,276.10,100,744
2026-08-20T16:19:27,5.45,9398156,6,272.77,100,745
2026-08-20T16:19:38,4.60,9308776,6,206.45,100,749
2026-08-20T16:19:49,4.43,8514820,6,247.67,99,743
2026-08-20T16:20:00,4.44,6990788,6,208.40,99,739
2026-08-20T16:20:11,4.44,7587228,6,209.73,100,748
2026-08-20T16:20:23,4.14,7429948,6,213.12,98,736
2026-08-20T16:20:34,4.22,7380884,6,201.79,100,749
2026-08-20T16:20:45,3.88,7193628,6,290.68,99,738
2026-08-20T16:20:56,5.43,7277408,7,205.00,100,750
2026-08-20T16:21:07,6.64,6881932,7,211.32,99,736
2026-08-20T16:21:18,6.00,7039776,7,206.15,100,739
2026-08-20T16:21:29,6.68,13584108,7,255.57,86,643
2026-08-20T16:21:40,9.11,13189608,7,208.72,94,696
2026-08-20T16:21:51,10.47,13388092,7,259.64,98,725
2026-08-20T16:22:02,10.93,13213620,7,292.43,92,684
2026-08-20T16:22:13,10.99,13191784,7,198.08,100,736
2026-08-20T16:22:24,9.81,13015980,7,211.82,100,743
2026-08-20T16:22:35,8.99,12993864,7,218.49,100,752
2026-08-20T16:22:46,8.62,12938068,7,271.15,100,751
2026-08-20T16:22:57,10.44,13270608,8,271.50,100,748
2026-08-20T16:23:08,12.87,13190232,7,242.21,93,687
2026-08-20T16:23:20,13.10,12337308,7,213.83,95,709
2026-08-20T16:23:31,11.68,13684628,7,212.03,100,746
2026-08-20T16:23:42,10.19,13730304,7,213.23,99,732
2026-08-20T16:23:53,8.93,13894056,7,218.36,95,703
2026-08-20T16:24:04,8.28,13827404,8,202.07,82,631
2026-08-20T16:24:15,7.54,13805968,8,237.96,100,725
2026-08-20T16:24:26,6.77,13525332,8,260.74,95,702
2026-08-20T16:24:37,6.36,13624612,8,222.31,100,746
2026-08-20T16:24:48,6.24,12137556,8,260.53,99,738
2026-08-20T16:24:59,7.32,13902888,10,215.12,100,749
2026-08-20T16:25:10,6.73,13529508,10,212.10,100,750
2026-08-20T16:25:21,6.23,13367208,10,212.01,100,744
2026-08-20T16:25:32,5.74,13063028,10,214.91,100,750
2026-08-20T16:25:43,5.52,12735576,10,228.48,99,737
2026-08-20T16:25:54,5.29,12683000,10,303.18,100,744
2026-08-20T16:26:05,6.19,12656996,10,243.19,100,737
2026-08-20T16:26:17,6.49,11229288,10,248.14,100,733
2026-08-20T16:26:28,5.95,10359952,10,290.58,100,748
2026-08-20T16:26:39,6.38,10622712,10,242.51,99,726
